text,label
A yaxshi,1
"hatto bitta ovoz ham mos kelmaydi
",0
"pliska avtobus haydovchisi men uni juda yaxshi ko'raman
",1
"tanzaniyani yaxshi ko'raman
",0
"xo'sh, nima qila olaman ... menga kira olmayman ...... men yarim soat kutgan edim hali ham kirishga harakat qilaman ...... vau.
",0
"juda katta emas o'yinlarning ko'pi qulflangan. ular sizga faqat 3 yoki 4 o'yin imkonini beradi. keyin qolganini qulfini ochishingiz kerak.
",0
"nima uchun oh, nega kamalakni kovlashga ruxsat bermadim va mane pls qo'shib qo'ydim, men esa yulduzlarga beraman
",0
Yaxshi dastur.,1
"sevgilimga bir necha narsalarni taklif qilish uchun yillar o'tar
",1
"hech ishonchli emas, hammasi ishonchli emas men safardan rezervasyon qildim va so'nggi daqiqada bekor qilindi. ushbu ilovaga tayanmang. buyurtmani o'zlari xohlagancha o'zgartirishlari mumkin va mijozga yordam berish uchun hech narsa qila olmaydi
",0
"bu ajoyib narsa
",1
"katta o'yin bu o'yin ajoyib, lekin bu o'yinning ikkinchi nashri ko'proq mashina va darajalarni qo'ydi
",1
Men dasturni yaxshi ko'raman va uni uzoq vaqtdan beri ishlatmoqdaman. Ilovani ishlab chiquvchilar va portalning to'liq tarkibida: 1) ko'proq bepul filmlar yaratish,1
"absolyut axlat. ehtimol, men ko'rgan eng yomon qurtlarni yutib yuboradi. qo'rqinchli maqsad mexanikasi, qurol-yarog'larning dahshatli tanlovi va umuman olganda grundy tuyg'usidan o'yin. ushbu o'yin bepul va men hali ham buning uchun juda ko'p pul to'layman deb o'ylayman
",0
"o'yin o'ynashni xohlamayman, lekin men o'yinni boshlaganimda, futbolchilarning biqinlari noto'g'ri ko'rsatilgan va u to'g'ri o'ynaydi. iltimos, nvidia qalqonli tabletimdan foydalanishga yordam bering.
",0
"ilova ishlamayapti, men ilovani yuklab olib, yangi ilovani yuklab olishni aytaman. u taqdim etilgan yangi ilovani yuklab olish uchun havolani bosing va u ilovani avaialble deb bo'lmaydi
",0
"general zoi, siz rok-n-nihoyat pony creator bilan ishlaydigan telefonga ega bo'ldim va men baxtli bo'la olmasdim. qattiq ishingiz uchun tashakkur.
",1
"buzilgan yangilanish o'yinni butunlay boyitdi, men yangi ko'rinishni yoqtirmayman. kundalik mashg'ulotlar maqsadlari bilan vayron bo'ldi. ulardan zavqlanish uchun foydalanilgan, ammo belgilangan maqsadlarga erishish uchun hali foydalanilmagan. yangilanish bilan spoiled agar u noto'g'ri bo'lsa, nima uchun uni tuzatish
",0
"men bu dasturni bosganimda men o'ynagan har safar men o'ynagan eng yomon o'yin, men unga kiraman, lekin u meni boshlaydi.
",0
"laggy va sekinlashuvim shu darajada sustlashib ketgan, ammo u juda yaxshi ishlashi uchun foydalidir.
",0
"men hech qachon bularni hech qachon o'chira olmayman, chunki bu birinchi marta ko'rganimda, omgga o'xshaganman, bu nima uchun men buni hech qachon hech qachon o'chira olmayman
",1
"eng yaxshi tortishish o'yinini ko'rganman, lekin ular eski traktor klassini qo'yishgan
",1
"buning uchun men kiraman va har safar buni tekshirib ko'rganimda game sihirbazı plz fix ni to'xtatdi yoki men yana xabar beraman
",0
"ajoyib, ayniqsa, kichik detallar bilan juda ko'p yordam beradi. anime chizishni yaxshi ko'radiganlar uchun buni albatta tavsiya eting
",1
"katta o'yin faqat buni xohladim
",1
"endi m nuqtalari orqaga qaytib, o'ynashga arziydi
",1
